Município     Razão Social                      Emissão    Número     Origem                          N° Equipamento        Valor (R$) Registro   Tipo OperaçãoSituação Do
Canela        Hotel Vila Suzana Ltda               02/04/17       2681Nota Fiscal de Consumidor Eletrô-                     115,50        02/04/17Aquisição    Normal     
Canela        Dimed S A Distrib De Medic           01/04/17     237086Nota Fiscal de Consumidor Eletrô-                     93,53         01/04/17Aquisição    Normal     
Novo Hamburgo Tnf Coml E Impra Ltda                01/04/17       1544Nota Fiscal de Consumidor Eletrô-                     1091,00       01/04/17Aquisição    Normal     
Porto Alegre  Dimed S A Distrib De Medic        28/03/17        121877Nota Fiscal de Consumidor Eletrô-                     159,57     28/03/17   Aquisição    Normal     
Porto Alegre  Cia Zaffari Com E Ind             25/03/17        151291Nota Fiscal de Consumidor Eletrô-                     74,13      25/03/17   Aquisição    Normal     
Porto Alegre  Cia Zaffari Com E Ind             24/03/17         81098Nota Fiscal de Consumidor Eletrô-                     168,65     24/03/17   Aquisição    Normal     
Porto Alegre  Maxmix Coml Ltda                  22/03/17          7914Nota Fiscal de Consumidor Eletrô-                     29,90      22/03/17   Aquisição    Normal     
Porto Alegre  Renata Da Silva Macario           21/02/17         31258Cupom Fiscal                    BE051475610000206982  124,30     21/03/17   Aquisição    Normal     
Porto Alegre  Cia Zaffari Com E Ind                12/03/17      59402Nota Fiscal de Consumidor Eletrô-                     419,18        12/03/17Aquisição    Normal     
Porto Alegre  2L Company Vest Ltda                 07/02/17      36517Cupom Fiscal                    BE091010100010049274  867,00        10/03/17Aquisição    Normal     
Porto Alegre  Casa De Carnes Moacir Ltda           11/02/17     210479Cupom Fiscal                    UR010700545B          87,30         09/03/17Aquisição    Normal     
Porto Alegre  Casa De Carnes Moacir Ltda        17/02/17        213798Cupom Fiscal                    UR010700545B          70,15         09/03/17Aquisição    Normal     
Porto Alegre  Casa De Carnes Moacir Ltda        18/02/17        214101Cupom Fiscal                    UR010700545B          132,70        09/03/17Aquisição    Normal     
Porto Alegre  Casa De Carnes Moacir Ltda        24/02/17        217246Cupom Fiscal                    UR010700545B          243,01        09/03/17Aquisição    Normal     
Porto Alegre  Cia Zaffari Com E Ind                05/03/17     248591Nota Fiscal de Consumidor Eletrô-                     312,30        06/03/17Aquisição    Normal     
Porto Alegre  Raia Drogasil S A                    04/03/17      76143Nota Fiscal de Consumidor Eletrô-                     413,04        06/03/17Aquisição    Normal     
Porto Alegre  Sulmeias Com De Meias E Lingerie L26/02/17        209938Cupom Fiscal                    BE091010100011211021  160,20        02/03/17Aquisição    Normal     
