Município     Razão Social                      Emissão    Número     Origem                          N° Equipamento        Valor (R$) Registro   Tipo OperaçãoSituação Do
Porto Alegre  Cia Zaffari Com E Ind             13/05/17        185578Nota Fiscal de Consumidor Eletrô-                     492,11     13/05/17   Aquisição    Normal     
Porto Alegre  Dimed S A Distrib De Medic           06/05/17     261456Nota Fiscal de Consumidor Eletrô-                     426,81        06/05/17Aquisição    Normal     
Porto Alegre  Renata Da Silva Macario           31/03/17         32156Cupom Fiscal                    BE051475610000206982  124,30     19/04/17   Aquisição    Normal     
Estancia VelhaPao De Trigo-Padaria E Confeitaria26/03/17        233966Cupom Fiscal                    EL051200000000011982  37,72      18/04/17   Aquisição    Normal     
Porto Alegre  Kalunga Com E Ind Grafica Ltda    15/04/17         97494Nota Fiscal de Consumidor Eletrô-                     29,90      15/04/17   Aquisição    Normal     
Porto Alegre  Raia Drogasil S A                 13/04/17         82902Nota Fiscal de Consumidor Eletrô-                     96,17      13/04/17   Aquisição    Normal     
Porto Alegre  Casa De Carnes Moacir Ltda           11/03/17     223511Cupom Fiscal                    UR010700545B          292,75     13/04/17   Aquisição    Normal     
Porto Alegre  Casa De Carnes Moacir Ltda           02/03/17     302477Cupom Fiscal                    URO11314476           115,51     13/04/17   Aquisição    Normal     
Porto Alegre  Casa De Carnes Moacir Ltda        16/03/17        309038Cupom Fiscal                    URO11314476           69,86      13/04/17   Aquisição    Normal     
Porto Alegre  Casa De Carnes Moacir Ltda        25/03/17        313174Cupom Fiscal                    URO11314476           74,76      13/04/17   Aquisição    Normal     
Porto Alegre  Casa De Carnes Moacir Ltda        26/03/17        314054Cupom Fiscal                    URO11314476           155,67     13/04/17   Aquisição    Normal     
Porto Alegre  Cia Zaffari Com E Ind                09/04/17     156939Nota Fiscal de Consumidor Eletrô-                     131,27        09/04/17Aquisição    Normal     
Porto Alegre  Cia Zaffari Com E Ind                08/04/17     157597Nota Fiscal de Consumidor Eletrô-                     404,86        08/04/17Aquisição    Normal     
